timestamp,driver_count,duplicates
2023-08-27T12:08:44.354+00:00,false,false
2023-08-27T12:14:10.254+00:00,false,false
2023-08-27T12:11:01.554+00:00,false,false
2023-08-27T12:11:00.554+00:00,false,false
2023-08-27T12:14:26.554+00:00,false,false
2023-08-27T12:09:47.454+00:00,false,false
2023-08-27T12:10:55.754+00:00,false,false
2023-08-27T12:13:48.154+00:00,false,false
2023-08-27T12:14:50.454+00:00,false,false
2023-08-27T12:09:31.954+00:00,false,false
2023-08-27T12:11:17.954+00:00,false,false
2023-08-27T12:08:20.354+00:00,false,false
2023-08-27T12:13:17.354+00:00,false,false
2023-08-27T12:13:40.954+00:00,false,false
2023-08-27T12:12:01.054+00:00,false,false
2023-08-27T12:13:48.654+00:00,false,false
2023-08-27T12:09:36.854+00:00,false,false
2023-08-27T12:10:37.054+00:00,false,false
2023-08-27T12:14:25.254+00:00,false,false
2023-08-27T12:12:39.754+00:00,false,false
2023-08-27T12:12:59.654+00:00,false,false
2023-08-27T12:11:47.054+00:00,false,false
2023-08-27T12:11:00.454+00:00,false,false
2023-08-27T12:11:49.454+00:00,false,false
2023-08-27T12:12:51.854+00:00,false,false
2023-08-27T12:13:43.754+00:00,false,false
2023-08-27T12:12:21.554+00:00,false,false
2023-08-27T12:08:46.754+00:00,false,false
2023-08-27T12:09:04.154+00:00,false,false
2023-08-27T12:09:27.054+00:00,false,false
2023-08-27T12:10:29.654+00:00,false,false
2023-08-27T12:14:21.854+00:00,false,false
2023-08-27T12:08:59.854+00:00,false,false
2023-08-27T12:09:37.054+00:00,false,false
2023-08-27T12:13:34.754+00:00,false,false
2023-08-27T12:13:07.754+00:00,false,false
2023-08-27T12:14:54.754+00:00,false,false
2023-08-27T12:08:58.754+00:00,false,false
2023-08-27T12:15:00.554+00:00,false,false
2023-08-27T12:08:21.254+00:00,false,false
2023-08-27T12:10:17.954+00:00,false,false
2023-08-27T12:13:27.054+00:00,false,false
2023-08-27T12:13:44.554+00:00,false,false
2023-08-27T12:11:39.254+00:00,false,false
2023-08-27T12:13:40.354+00:00,false,false
2023-08-27T12:08:24.654+00:00,false,false
